sitename,county,aqi,status,pm2.5,datacreationdate,longitude,latitude
恆春,屏東縣,44,,良好,0.1,0.23,49.8
潮州,屏東縣,91,細懸浮微粒,普通,1.8,0.33,76.4
屏東,屏東縣,98,細懸浮微粒,普通,,,65.5
小港,高雄市,72,細懸浮微粒,普通,1.6,0.37,69.8
前鎮,高雄市,74,細懸浮微粒,普通,2.3,0.42,66
前金,高雄市,63,細懸浮微粒,普通,0.4,0.38,62.5
左營,高雄市,68,細懸浮微粒,普通,1.7,0.31,67.4
楠梓,高雄市,69,細懸浮微粒,普通,1.2,0.38,64.6
林園,高雄市,87,臭氧八小時,普通,2.2,0.36,78.5
大寮,高雄市,82,細懸浮微粒,普通,2,0.42,61.5
鳳山,高雄市,79,細懸浮微粒,普通,1.9,0.74,64.3
仁武,高雄市,79,細懸浮微粒,普通,0.9,0.34,66.6
橋頭,高雄市,83,細懸浮微粒,普通,1.8,0.38,58.2
美濃,高雄市,66,細懸浮微粒,普通,2.1,0.43,59.5
臺南,臺南市,54,細懸浮微粒,普通,,,54.7
安南,臺南市,56,細懸浮微粒,普通,1.4,0.28,59.8
善化,臺南市,57,細懸浮微粒,普通,1.7,0.24,55.2
新營,臺南市,60,懸浮微粒,普通,2,0.31,47.1
嘉義,嘉義市,54,細懸浮微粒,普通,3.8,0.41,37.3
臺西,雲林縣,47,,良好,1.5,0.2,50.2
朴子,嘉義縣,52,懸浮微粒,普通,1.7,0.28,48.1
新港,嘉義縣,69,懸浮微粒,普通,3.1,0.28,43.6
崙背,雲林縣,94,懸浮微粒,普通,2.2,0.32,38.8
斗六,雲林縣,46,,良好,1.4,0.31,37.6
南投,南投縣,32,,良好,1.8,0.36,27.1
二林,彰化縣,48,,良好,4,0.36,39.4
線西,彰化縣,40,,良好,2.5,0.42,39.5
彰化,彰化縣,34,,良好,0.4,0.3,33.2
西屯,臺中市,37,,良好,1.1,0.23,37.4
忠明,臺中市,31,,良好,1.4,0.31,27.7
大里,臺中市,29,,良好,1.4,0.34,26.6
沙鹿,臺中市,40,,良好,1.2,0.24,39.9
豐原,臺中市,31,,良好,,0.22,34.2
三義,苗栗縣,37,,良好,1.1,0.21,38.7
苗栗,苗栗縣,37,,良好,2,0.23,40.5
頭份,苗栗縣,40,,良好,1.2,0.22,41.5
新竹,新竹市,36,,良好,1.7,0.26,40.4
竹東,新竹縣,38,,良好,0,0.18,42.9
湖口,新竹縣,35,,良好,1.2,0.22,39.6
